,constructorStandingsId,raceId,constructorId,points,position,positionText,wins,year,round,circuitId,name_x,date,time,url_x,constructorRef,name_y,nationality,url_y
0,1,18,1,14.0,1,1,1,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
1,7,19,1,24.0,1,1,1,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2,18,20,1,28.0,3,3,1,2008,3,3,Bahrain Grand Prix,2008-04-06,11:30:00,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
3,29,21,1,34.0,3,3,1,2008,4,4,Spanish Grand Prix,2008-04-27,12:00:00,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
4,40,22,1,42.0,3,3,1,2008,5,5,Turkish Grand Prix,2008-05-11,12:00:00,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
5,51,23,1,53.0,2,2,2,2008,6,6,Monaco Grand Prix,2008-05-25,12:00:00,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
6,62,24,1,53.0,3,3,2,2008,7,7,Canadian Grand Prix,2008-06-08,17:00:00,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
7,73,25,1,58.0,3,3,2,2008,8,8,French Grand Prix,2008-06-22,12:00:00,http://en.wikipedia.org/wiki/2008_French_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
8,84,26,1,72.0,3,3,3,2008,9,9,British Grand Prix,2008-07-06,12:00:00,http://en.wikipedia.org/wiki/2008_British_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
9,95,27,1,86.0,3,3,4,2008,10,10,German Grand Prix,2008-07-20,12:00:00,http://en.wikipedia.org/wiki/2008_German_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
10,106,28,1,100.0,2,2,5,2008,11,11,Hungarian Grand Prix,2008-08-03,12:00:00,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
11,117,29,1,113.0,2,2,5,2008,12,12,European Grand Prix,2008-08-24,12:00:00,http://en.wikipedia.org/wiki/2008_European_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
12,128,30,1,119.0,2,2,5,2008,13,13,Belgian Grand Prix,2008-09-07,12:00:00,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
13,139,31,1,129.0,2,2,5,2008,14,14,Italian Grand Prix,2008-09-14,12:00:00,http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
14,150,32,1,135.0,1,1,5,2008,15,15,Singapore Grand Prix,2008-09-28,12:00:00,http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
15,161,33,1,135.0,2,2,5,2008,16,16,Japanese Grand Prix,2008-10-12,04:30:00,http://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
